epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2543.84,0.97359,0.66558,1.14449,0.89591,0.83606,0.90578,0.71497,0.79003,0.58352,1.09945,0.001189,0.001189,0.001189
91,2647.61,0.99748,0.6421,1.15433,0.86895,0.84202,0.90185,0.72446,0.7729,0.6021,1.09819,0.00109,0.00109,0.00109
92,2675.95,0.96985,0.62044,1.13643,0.9079,0.82132,0.90837,0.72071,0.79192,0.59716,1.10068,0.000991,0.000991,0.000991
93,2703.83,0.9606,0.61108,1.12985,0.91034,0.82299,0.90313,0.71984,0.77624,0.5967,1.08854,0.000892,0.000892,0.000892
94,2731.79,0.95697,0.6126,1.12628,0.92665,0.7973,0.89735,0.7205,0.77664,0.60639,1.09603,0.000793,0.000793,0.000793
95,2759.83,0.95241,0.60819,1.12663,0.8668,0.83486,0.89589,0.72177,0.76546,0.59616,1.08419,0.000694,0.000694,0.000694
96,2787.74,0.92829,0.59871,1.11392,0.90075,0.81572,0.89998,0.7265,0.76638,0.58539,1.0805,0.000595,0.000595,0.000595
97,2815.65,0.93151,0.59839,1.11018,0.90629,0.81317,0.90131,0.72335,0.75685,0.58978,1.08217,0.000496,0.000496,0.000496
98,2843.33,0.92773,0.59059,1.11481,0.90169,0.82711,0.89884,0.72943,0.75099,0.58842,1.07902,0.000397,0.000397,0.000397
99,2871.48,0.9307,0.59492,1.113,0.90059,0.83038,0.90134,0.72239,0.75764,0.58406,1.07657,0.000298,0.000298,0.000298
100,2899.38,0.91862,0.5868,1.11138,0.89574,0.8257,0.9026,0.7263,0.75936,0.58447,1.07745,0.000199,0.000199,0.000199
